Word,Frequency
catalog,2
cccp,2
centroids,2
cheetah,2
chien,2
chimpanzee,2
chimps,2
chisel,2
chocolate,2
circulant,2
circumvent,2
circumvents,2
citizen,2
citizenship,2
civil,2
civil rights,2
civilization,2
clenched,2
clipped,2
clipping,2
coalition,2
coarse,2
coarse-grained,2
coincidentally,2
colonialism,2
column-major,2
committee,2
commodity,2
common men,2
commonalities,2
communism,2
compensate,2
competitively,2
complementary,2
complicated,2
complicates,2
compose,2
comprehensioin,2
comprehension,2
comprehensive,2
compression,2
conceal,2
concent,2
concurrently,2
conference,2
congress,2
conincidentally,2
conjecture,2
conscientious,2
conscious,2
consistent,2
constent,2
constitude,2
constitute,2
constitutes,2
constitution,2
construct,2
construction,2
consult,2
consultative,2
contemporaneously,2
contest,2
context,2
contextual,2
continent,2
conversion,2
convex,2
coordinated,2
coordination,2
corherent,2
corollary,2
corpus,2
correlations,2
cotton,2
council,2
counters,2
coverage,2
crab,2
credit,2
crops,2
cult,2
cumulative,2
curated,2
cutscene,2
cyberloaf,2
cyberspace,2
damp,2
dearth,2
decay,2
december,2
decentralization,2
decipt,2
decipting,2
decomposes,2
dedignation,2
deics,2
delphinium,2
democracies,2
democracy,2
dencent,2
density,2
depicting,2
deplet,2
deplete,2
depleted,2
derivate,2
derivativ,2
derivative,2
desent,2
despite,2
detect,2
deterministic,2
deterministric,2
determinstic,2
dice,2
dictation,2
dictum,2
diffusion,2
dio,2
diplomacy,2
diplomatic,2
disaggregated,2
discriminative,2
disobedience,2
distributed,2
diverage,2
diverge,2
divine,2
doubts,2
downside,2
downstream,2
dpi,2
drastically,2
edics,2
election,2
elicit,2
eliminates,2
eliminating,2
emerald,2
emerged,2
emergent,2
eminent,2
emphasize,2
empire,2
emulate,2
encountered,2
engaging,2
enhaced,2
enhanced,2
enhancement,2
enin,2
enormous,2
entertain,2
entertaining,2
entertainment,2
entj,2
entropy,2
envy,2
eots,2
eplision,2
eplison,2
epsilon,2
erin,2
establishes,2
estimate,2
estimated,2
estimatin,2
estimatino,2
ethereal,2
ever-overlooked,2
everoverlooked,2
evolution,2
exclusive,2
executive,2
exhaustive,2
exhibition,2
expand,2
exploration,2
explot,2
extended,2
extraordinaire,2
extraordinary,2
extraordinate,2
extravert,2
extraverted,2
eyeful,2
facilation,2
facilitating,2
failure,2
fascism,2
fashion,2
february,2
federal,2
federalism,2
federate,2
federated,2
fetch,2
fiber,2
fine-frained,2
fine-grained,2
fine-granular,2
finland,2
flabbergasted,2
flattened,2
flattented,2
fluffy,2
fly off,2
footprint,2
for the sake of,2
forage,2
forgo,2
formidable,2
fragment,2
freestanding,2
freestyle,2
friday,2
frsa,2
fulfill,2
furthermore,2
fuse,2
gan,2
gaussian,2
generalized,2
geode,2
gerry,2
gerrymandering,2
gestapo,2
glacier,2
glass,2
glock,2
gloss,2
gorilla,2
gorvement,2
goubts,2
goverment,2
government,2
governor,2
gradient,2
gradually,2
grassroots,2
gross,2
grossglockner,2
gruel,2
gulf,2
gursky,2
handle,2
hardness,2
harnessing,2
harry potter,2
harvey,2
have emerged as,2
herring,2
hi,2
hinder,2
historic,2
hogwarts,2
homochronous,2
hopfield,2
horn,2
horny,2
hpcg,2
hsue-shen,2
human rights,2
hunter,2
hyf,2
hyft,2
hyperspectral,2
hytf,2
i.e.,2
iceland,2
ideal,2
identity,2
iee,2
ieee,2
illicit,2
imminent,2
impact,2
impactful,2
impeach,2
impeachment,2
imperious,2
imperviouos,2
impervious,2
implication,2
implications,2
implicit,2
implicitly,2
in conjuction with,2
in practice,2
in presence of,2
in spirit with,2
in terms of,2
in turn,2
in-sync,2
inaccessable,2
inaccuracies,2
inception,2
inception network,2
incisive,2
inclusive,2
incorporates,2
incumbent,2
incure,2
incurs,2
indenpendent,2
indentical,2
independent,2
inductive,2
influence,2
inherently,2
innermost,2
instincts,2
institutional,2
insulator,2
insure,2
integrity,2
intellect,2
intensities,2
intensive,2
interdependencies,2
interior,2
intermediate,2
intervention,2
intervert,2
interverted,2
intp,2
intractable,2
intrinsic,2
introvert,2
intuitive,2
invalidate,2
inversino,2
inversion,2
inverstigate,2
investigate,2
investment,2
iris,2
irregularly,2
j january,2
january,2
jewels,2
joan of arc,2
judiciary,2
july,2
june,2
koenker,2
kolon,2
kotel,2
lassi,2
latitude,2
leashing,2
legislatino,2
legislation,2
lehigh,2
lexical,2
linpacck,2
liquor,2
lobby,2
longitude,2
loral,2
loreal,2
loyal,2
luft,2
luftwaffe,2
mackler,2
magnetospheric,2
magnitude,2
mahjong,2
mandatory,2
mandering,2
marginal,2
marginally,2
massachusetts,2
mayt,2
mechanicus,2
melody,2
mingw64,2
mitigate,2
mixture,2
mnemonic,2
molecule,2
monarchy,2
monday,2
mulling,2
necessitates,2
necessitats,2
neglected,2
negligible,2
nested,2
neural,2
nevertheless,2
ngo,2
nil,2
noir,2
noisy,2
nonpartisan,2
norway,2
november,2
novermber,2
novice,2
numerator,2
obedience,2
objectionable,2
obtain,2
obtaining,2
occasionally,2
occur,2
october,2
octree,2
off the rails,2
oligarchy,2
on par,2
orangoutang,2
orangutan,2
orchestrating,2
ordinary,2
oriental,2
origin,2
originality,2
orlen,2
orthography,2
outline,2
over-parameterized,2
overgrown,2
pacman,2
panzee,2
paradigms,2
paradise,2
parametric,2
pareto optimal,2
parliament,2
partisan,2
patch merging,2
patches,2
patient,2
pde,2
pedal,2
peer,2
peninsula,2
penny,2
performant,2
performantly,2
performent,2
peripheral,2
periphral,2
permitted,2
permutation,2
petal,2
petitino,2
petition,2
photography,2
pickle,2
pillow,2
pinpoint,2
plateau,2
platinum,2
platonic,2
plaza,2
plethora,2
plum,2
pointwise,2
poland,2
pole,2
portal,2
portion,2
portions,2
positif,2
position,2
potpourri,2
predict,2
predictive,2
predicts,2
preferable,2
preliminary,2
prematurely,2
presence,2
present,2
prevalent,2
prevent,2
principle,2
prism,2
prohibit,2
prohibits,2
prospect,2
protest,2
prune,2
pruning,2
pseudo,2
pseudorandom,2
pursued,2
quadtree,2
quantile,2
quasi,2
quest,2
radiance,2
rally,2
rancher,2
rapid,2
ratio,2
read,2
ready,2
realm,2
rearrangement,2
receptive,2
recipe,2
recipients,2
recruitment,2
reform,2
regimes,2
regularization,2
regulation,2
rehearse,2
reinforcement,2
religious,2
reorder,2
representation,2
representational,2
resolve,2
retreat,2
retrieve,2
retrieved,2
retrival,2
reveals that,2
reverse,2
revolution,2
revolutionized,2
rhine,2
rnn,2
robustness,2
romantic,2
romantika,2
roselite,2
row-major,2
sadomasochism,2
sailency,2
"saliency,",2
sanctions,2
sardine,2
saturday,2
scalable,2
scalarisation,2
scatter,2
scyche,2
seasoned,2
semantics,2
semi-structured,2
separable,2
september,2
serving,2
shed,2
showcase,2
shrimp,2
shuffle,2
smart,2
smuggling,2
snae,2
socialism,2
solely,2
sore,2
sosy,2
sovereignty,2
spain,2
spark,2
spectral,2
speculating,2
spin,2
spread,2
squas,2
squash,2
squashing,2
st,2
st petersburg,2
stardew,2
starstruck,2
static,2
statically,2
stitching,2
strait,2
strapped,2
struck,2
stump,2
su,2
sub-optimal,2
subsequent,2
substitute,2
successful,2
sunday,2
superlinear,2
supervision,2
supplementary,2
surgeon,2
sweden,2
swift,2
swing by,2
swizz,2
swizzing,2
swizzle,2
symbolic,2
symmetrical,2
symposia,2
symposium,2
synchronal,2
synchronous,2
tattoo,2
tem4,2
tem8,2
temporal,2
tenants,2
tenary,2
terminology,2
ternarization,2
ternary,2
theatre,2
threshold,2
throttle,2
thursday,2
tide,2
tiers,2
tight,2
till,2
tite,2
tonnage,2
totalitarianism,2
towel,2
tower,2
tramp,2
transcribe,2
transfer,2
transformations,2
transliterate,2
transparency,2
trivel,2
tron,2
truck,2
trump,2
tuesday,2
tulip,2
turkey,2
twilight,2
tyte,2
ubiquity,2
ukraine,2
unimpeded,2
unleashing,2
unveil,2
unveils,2
upstream,2
utilization,2
utilize,2
validation,2
valley,2
vantican,2
variant,2
vatican,2
vault,2
velvet,2
verbatim,2
verse,2
virtue,2
vnni,2
vocabularay,2
volcano,2
vovabulary,2
vurvature,2
waffe,2
wallowing in,2
wavy,2
wednesday,2
weight stationay,2
whitehead,2
wind,2
wip,2
wondrous,2
worshiipers,2
yield,2
yielding,2
yields,2
zurich,2
österreich,2
内向,2
分子,2
分母,2
加利福尼亚州,2
横坐标,2
独立的,2
福,2
纬度,2
纹身,2
经度,2
覆盖,2
a passage of,1
absorbing,1
acc.,1
accessories,1
accessory,1
accumulate,1
acessory,1
acinonyx,1
acronyms,1
adole,1
aequeo,1
aeronautical,1
aeronautics,1
aerospace,1
affect,1
affine,1
affordable,1
aggregating,1
agiler,1
ahb,1
ahoy,1
aka,1
algae,1
alleviation,1
ally,1
altar,1
alter,1
amd,1
amend,1
ament,1
amr,1
angular,1
animated,1
annihilation,1
annihilation-20,1
annual,1
antidisestablishmentarianism,1
anxious,1
apache,1
apb,1
appeal,1
appealing,1
appedn,1
append,1
apple,1
apprais,1
appraise,1
appreciate,1
apricot,1
aptain,1
archaeological,1
arm,1
arm64,1
arnold,1
array,1
articarft,1
articraft,1
articulated,1
artifacts,1
artillery,1
arxiv,1
ascend,1
assent,1
assumption,1
asynchronous,1
at a glance,1
at the expense of,1
atlantic,1
atlantic ocean,1
attainable,1
attention,1
attention-based neural networks have become pervasive in many ai tasks,1
attribute to,1
aural,1
aussie,1
avenue,1
aviation,1
aviation industries,1
axi,1
axis power,1
axis powers,1
axises,1
backpack,1
bacon,1
baited,1
bandwidth-demanding,1
barbor,1
barbour,1
barn,1
bars,1
bart,1
bass,1
batches,1
bate,1
bated,1
bay,1
be derived by,1
bean,1
bears,1
beaten,1
bedcrab,1
beloved,1
berate,1
bert,1
berth,1
beside,1
biannual,1
biased,1
biennial,1
big cock,1
billed,1
billed you,1
birth,1
blacksmit,1
blacksmith,1
blossom,1
bok,1
boo,1
bother,1
bounce,1
bowls,1
brake,1
branch divergence,1
break,1
bream,1
breath,1
brethe,1
brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116,1
bristle,1
bro,1
bruce lee,1
buddy,1
buff,1
built around,1
bumble,1
bumps,1
bun,1
burden,1
burst,1
burt,1
bust,1
bustling,1
by some time,1
cabin,1
cafeteria,1
califrag,1
calla,1
calzone,1
cambrian,1
cambricon,1
can,1
candidate selection,1
canlla,1
canonical,1
canonical softmax,1
canvas,1
canvass,1
capital,1
capitol,1
captain america,1
caramel,1
caramel porters,1
carnation,1
cascaded,1
cause,1
ccp,1
cet-4,1
cet-6,1
cet4,1
charter,1
check-ups,1
cherry,1
cheshire,1
chill,1
chiplet,1
chiseled,1
chisen,1
choop,1
chop,1
chore,1
chores,1
chub,1
cinque,1
circumstances,1
cite,1
civil war,1
classifier,1
clay,1
climactic,1
climate,1
climatic,1
clinic,1
cls,1
cock,1
coincidence,1
collapse,1
collins,1
combine,1
come by,1
come up with,1
commencement,1
commented,1
community,1
compact,1
comparatively,1
comparison,1
comparisons,1
compassion,1
complain,1
complement,1
complemnet,1
compliment,1
composer,1
comprasion,1
comprehend,1
compressing,1
comprise,1
compse,1
compund,1
computing resource utilization,1
concatenate,1
concatenated,1
concede,1
concentrate,1
concentrate on,1
concentrating,1
concentrating on,1
concept,1
concurrent,1
condescend,1
condescending,1
condescends,1
confines,1
confuse,1
conqar,1
conscience,1
consensus,1
consequence,1
consequently,1
conservative,1
conserve,1
conspiracy,1
conspiracy theories,1
consumption,1
contemporary,1
continuations,1
conversely,1
convincing,1
cookies,1
coop,1
copy,1
copy that,1
corn,1
cornerstones,1
corp,1
corrent,1
cosy time,1
cougar,1
counsel,1
coupons,1
covid,1
covid-19,1
cpc,1
crabpots,1
craftsman,1
cranky,1
creamy,1
crew,1
crewmat4e,1
crewmate,1
crow,1
crusty,1
"crusty might be a little apt, through",1
cue,1
cultivate,1
cultivating,1
cum,1
cumulate,1
cumulatvie,1
curator,1
current,1
curry,1
curves,1
daemon,1
daffodil,1
daisies,1
dandelion,1
darkstar,1
dassault,1
dassault aviation,1
ddr,1
deamon,1
decorative,1
decorative bowl,1
decouple,1
dedication,1
deed,1
defence,1
defence date,1
deficiency,1
deluxe,1
demo,1
demonstrates,1
demonstration,1
demostrate,1
deprecated,1
depression,1
derive,1
desirable,1
dessert,1
device,1
devise,1
dew,1
dick,1
diet,1
differentiate,1
dilapidated,1
dimension,1
dimensionality,1
dion,1
dir,1
directive,1
directories,1
directory,1
disburse,1
discord,1
discorse,1
discourse,1
discreet,1
dispatcher,1
disperse,1
disproportionately,1
diss,1
distiller,1
diverged,1
domestic,1
donald trump,1
draft,1
dragon,1
drastic,1
drastic increase,1
drip,1
drones,1
dryad,1
dunhill,1
dunk,1
dwellers,1
earthling,1
ecwcs,1
effect,1
efficacy,1
effortless,1
elaborate,1
eland,1
electromagneticseparator,1
elimination,1
emerge,1
emerge as,1
emu,1
enclosed,1
encolsed,1
endurance,1
enigmas,1
ensure,1
entail,1
entails,1
entails that,1
envious,1
eodas,1
eotas,1
epoch,1
ershisi bridge,1
escalates,1
even,1
evenly spaced,1
evicting,1
eviction,1
excel,1
excel in,1
excelling,1
excessively,1
exel,1
expansion,1
expectation,1
expecto,1
explicit,1
expolit,1
expressiveness,1
extraversion,1
eyesore,1
f decathlon,1
f pillow,1
f weaker correlations,1
fabirc,1
fabric,1
facilitates,1
faculty,1
fade,1
fairer,1
falcon,1
fang,1
farther,1
fate symphony,1
father,1
feeling,1
feint,1
felis,1
fellow,1
feminine,1
ferring,1
ferring to,1
fertilizer,1
fertilizers,1
fiberglass,1
fiction,1
fierce,1
financial,1
fine,1
fire quartz,1
firefang,1
fishrod,1
flanker,1
flass,1
flaunt,1
flok,1
flounder,1
flout,1
fluctuate,1
fluoroquinolone,1
flyco,1
folk,1
folks,1
forbear,1
foreword,1
forward,1
founder,1
fragile,1
free lunch,1
freeing up,1
fregean,1
fries,1
frisk,1
frustrating,1
fulfillment,1
fur,1
further,1
gacha,1
gadgets,1
gauged,1
gazelle,1
geneous,1
geng,1
geopolitics,1
get attached to,1
gibe,1
gigantic,1
giggity,1
giraffe,1
girlfriend,1
gitty,1
glance,1
glitches,1
gmat,1
go figure out,1
goblins,1
godzilla,1
goose,1
gorgeous,1
gozila,1
gpt,1
gpu,1
gradients,1
granny,1
greek,1
greek myth,1
green algae,1
green algee,1
greenfield,1
greeted,1
greetings,1
guaranteed,1
guggity,1
guild,1
gunther,1
gypsophila,1
handful,1
handover,1
haoran,1
happy,1
hare,1
harmless,1
harmlessness,1
harvest,1
haul,1
hay,1
hbm,1
heal,1
heel,1
hello~,1
hemas,1
hens,1
hermes,1
hermione,1
hermione granger,1
herpailurus,1
himars,1
hoe,1
homologous,1
honey,1
honorificabilitudinitatibus,1
horseradish,1
hounding,1
houseradish,1
hsueshen,1
humiliate,1
humza,1
hydra,1
hydrangeas,1
hypersonic,1
hyposis,1
hypsm,1
i cant match those prices,1
icarus,1
iconic,1
identify,1
idiosyncracy,1
idiosyncrasy,1
ielts,1
iinsulting,1
immense,1
imply,1
impossible,1
imposter,1
in dire need of,1
in the context of,1
in this context,1
in-syn,1
inability,1
incandescent,1
incite,1
inclination,1
indian,1
indispensable,1
individual threads,1
induce,1
infer,1
influential,1
infrastructure,1
infrastruture,1
infringements,1
inheritance,1
innocuousness,1
innumerable,1
insane,1
inspiration,1
inspire,1
instant,1
instant kill,1
instantaneous,1
insult,1
insultingly,1
intefere,1
intel,1
intellection,1
interleaving,1
intermediary,1
interposer,1
intersection,1
introversion,1
introverted,1
intuitively,1
invade,1
involves,1
irak,1
iron man,1
irrelavent,1
irrelevent,1
j-11,1
j.k.rowling,1
j11,1
jade,1
jamborite,1
jax,1
jazz,1
jedy,1
jelly,1
jen-hsun huang,1
jensen,1
jibe,1
joe biden,1
joyous,1
jubatus,1
judging,1
jvm,1
kabele,1
kabely,1
kabyle,1
kick off,1
kill,1
km/s,1
kolmogorov,1
kungfu,1
kurtosis,1
laid out,1
latter,1
leach,1
leah,1
leak,1
lecture,1
leech,1
leek,1
leopard,1
leprechauns,1
leverage,1
lgbt,1
lgbt+,1
lgbtq,1
likelihood,1
lily,1
limpid,1
linus,1
literature,1
livelock,1
livestock,1
lookers,1
looks into it,1
loose,1
loratadine,1
lotter,1
lottery,1
lottery ticket,1
lovely,1
lstm,1
ludwig,1
ludwig van beethoven,1
lynx,1
lyu,1
macovsky,1
made off,1
mainm,1
maneuver,1
manover,1
manuver,1
mao zedong,1
marnie,1
masculine,1
material,1
mature,1
mayer,1
mayonnaise,1
mechanics,1
med,1
medal,1
medbay,1
meddle,1
melancholy,1
metadata,1
metal,1
meter,1
methionyl,1
metre,1
might,1
mighty dragon,1
milestone,1
mill,1
milled,1
mimic,1
mincraft,1
minecraft,1
mineral,1
minerals,1
mit,1
mitigating,1
mizuno,1
mobility,1
modling,1
mogonglia,1
moist,1
molding,1
mongolia,1
moniker,1
moral,1
mortal,1
motif,1
muddling,1
multi modalities,1
multi-chiplet,1
multi-modalities,1
multiple batches of threads,1
museum,1
mussel,1
mustache,1
myth,1
mythology,1
naive,1
nap,1
narrative,1
naval,1
navel,1
navy,1
neglect,1
neglects,1
nemo,1
neurips,1
nic,1
nigger,1
nightly rounds,1
nihao,1
northern autumn,1
nostalgic,1
nun,1
nvidia,1
observe,1
obsidian,1
obstacles,1
odd,1
oddly,1
oder,1
odyssey,1
offensive,1
omg,1
omitted,1
on the fly,1
oppo,1
optimal,1
oral,1
order,1
ore,1
organ,1
orientated,1
outfit,1
outrun,1
outsrips,1
outstrips,1
owing to,1
oyster,1
pagani,1
pagani zonda,1
pairwise,1
pale,1
pallid,1
pappy,1
paragraph,1
paraphrase,1
para­stratio­sphe­com­yia stratio­sphe­com­yioi­des,1
pareto optimality,1
pareto why,1
partial,1
passage,1
pastoral,1
patronus,1
pattern,1
pc,1
peal,1
peel,1
peering down,1
peiping,1
perceiving,1
perceptrons,1
perceptrrons,1
perch,1
peregrine,1
permanent,1
persistently,1
pertubation,1
perturb,1
perturbation,1
pervasive,1
pff,1
pfff,1
pffff,1
phylogeny,1
pilled,1
pillow friend,1
pique,1
pissdian,1
pla,1
plain,1
plastic,1
plug into,1
plunge into,1
plunged into,1
pneumonoultramicroscopicsilicovolcanoconiosis,1
pollutant,1
pollution,1
pooch,1
pooor,1
population,1
pore,1
porportion,1
porters,1
possesses,1
potentially,1
pots,1
pour,1
pragmatic,1
prc,1
premier,1
primarily,1
primary,1
primitives,1
procrastination,1
prodigious,1
production-grade,1
proficiency,1
profit,1
prohibitively,1
prohibitively expensive,1
projected,1
promote,1
prompt,1
promptly,1
pronounce,1
prophet,1
proport,1
proportion,1
proportionate,1
proprietary,1
proptry,1
protein,1
pseudopseudohypoparathyroidism,1
psychologische,1
pulpino,1
pulpion,1
puma,1
pumpkin,1
puollution,1
puppet,1
pussy,1
qian,1
qsien,1
quantitative biology,1
quarterback,1
quaterback,1
radioactive,1
ranch,1
rare,1
rarefied,1
rataining,1
rationale,1
raze,1
razorattention,1
reactor,1
recall,1
reconcile,1
rectangular,1
recursion,1
refactor,1
refale,1
reflect,1
refund,1
regarded as,1
regardless,1
regress,1
regression,1
relay on,1
relayed,1
relevance,1
relics,1
relieve,1
relishing,1
rely,1
remedy,1
renaissance,1
renhai,1
represented by,1
resident,1
residing,1
residing on,1
resiliency,1
resolving,1
resource optimal,1
restructure,1
resturct,1
retaining,1
revolutionary,1
rickety,1
rifle,1
ripe,1
rita skeeter,1
river jelly,1
roadrunner,1
roast,1
roast me,1
roberta,1
robust,1
roe,1
ron weasley,1
rose,1
round-robin,1
routine,1
rowling,1
royalty,1
rpc,1
rube,1
ruby,1
rustic,1
rusty,1
saclar,1
sacred,1
sailing,1
saintess,1
salmon,1
salmonberry,1
saloon,1
salute,1
sampling,1
sane,1
sap,1
sapnap,1
scalar,1
scarecrow,1
scattered,1
schmaltzed,1
scoreboard,1
scorecrow,1
scripture,1
scroll,1
sea,1
sealed,1
seamlessly,1
seaweed,1
security council,1
seeweed,1
sensing,1
sentiment analysis,1
sep,1
separator,1
serene,1
serves as,1
sever,1
severus snape,1
sewer,1
shameful,1
sheared,1
shelf,1
sherlock,1
shiver,1
shove,1
shower,1
shunfeng,1
sight,1
silo,1
simplicity,1
sirius black,1
site,1
slackware,1
sled dog,1
sliding,1
slimy,1
slippery,1
smallmouth,1
smelt,1
snack,1
snacking,1
snacks,1
snake,1
sniper,1
snippet,1
snout,1
soc,1
sonic,1
sovereign country,1
sovereign states,1
soviet,1
span,1
sparked,1
sparsification,1
spilling,1
split,1
spree,1
spring,1
springbok,1
sprinkler,1
sprinting,1
stake,1
staple,1
stardew valley,1
starter,1
state subjects,1
stationery,1
stealth fighter,1
steamed bun,1
steeper,1
stimulate,1
stir,1
stock,1
strawberry,1
stray,1
streaks,1
stretch,1
sturdy,1
stylish,1
su-27,1
su27,1
submarine,1
subordinate,1
subsequently,1
substantive,1
substrate,1
summit,1
sun kat-sen,1
sunflower,1
supeaerodynamics,1
superaerodynamics,1
supercalifragilisticexpialidocious,1
supercalifragilisticexpialidocioussupercalifragilisticexpialidocious,1
supplied,1
supplies,1
suqad,1
surpassing,1
surplus,1
swallow,1
swing,1
swot,1
symphony,1
synchronously,1
synergies,1
synergy,1
talent,1
tawny,1
tear down,1
tear-like,1
temperate,1
tent,1
test,1
tetris,1
texture,1
the burden of,1
the sake of,1
thence,1
thinking,1
thriller,1
thrive,1
throne,1
tidying,1
till soil,1
tilled soil,1
tinying,1
titin,1
toefl,1
tokenized,1
tolerable,1
tomcat,1
tone,1
too involved with,1
topaz,1
toss,1
toss up,1
townsfolk,1
toxins,1
transceivers,1
transformation,1
transformer,1
transforming,1
transition,1
treasury,1
treat,1
trellis,1
tremble,1
troop,1
tsian,1
tutoring,1
unconcealable,1
uncountable,1
underlying,1
underneath,1
undertrained,1
undisturbed,1
unencumbered,1
unisex,1
unmilled,1
unravelling,1
unwavering,1
unwind,1
unyielding,1
update,1
urban,1
ussr,1
vally,1
ventures,1
verb,1
verbe,1
version,1
verted,1
vies,1
vinegar,1
violets,1
visual treat,1
vivace,1
vivo,1
viz,1
viz.,1
voldemort,1
vumulative,1
waddle,1
waddle into,1
wade giles,1
wade-giles,1
warehouse,1
warp,1
warthog,1
waxy,1
well,1
welsh,1
whack,1
wham,1
what,1
what the,1
what the hell,1
whhhh,1
whilst,1
widgets,1
wild seed,1
windy,1
wine,1
wither,1
witnessed,1
woman,1
wombats,1
x86,1
xmas,1
xylitol,1
yat-sen sun,1
yat-sen tsian,1
yeild,1
yell,1
yield roe,1
you wish,1
youdao,1
zilla,1
zonda,1
чэнду,1
中山大学,1
伊拉克,1
伏地魔,1
侧卫,1
俄罗斯方块,1
包含,1
包括,1
哈利,1
哥斯拉,1
圣女,1
多拉贡,1
如何把,1
如何把命令行玩出花来,1
小天狼星布莱克,1
康赛尔,1
拉文克劳,1
拜登,1
斯内普,1
斯莱特林,1
方便面,1
有才,1
柯林斯,1
格兰芬多,1
毛泽东,1
牛排,1
狙击步枪,1
生产质量,1
目录,1
终结,1
绿宝石,1
罗恩韦斯莱,1
胡子,1
苏联,1
装备,1
西弗勒斯,1
赫奇帕奇,1
赫敏格兰杰,1
轴心国,1
递归,1
邓布利多,1
金融的,1
钓鱼竿,1
阿不思邓布利多,1
霍格沃茨,1
霍格沃茨魔法学校,1
